OFC_DESC,OC_DIST_NUM,OC_NM_LST,OC_NM_FRST,filing_period,RPT_ZIP_CD,TOT_CON_AMT
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),91016,200.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),91024,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),91360,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),91360,200.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),91404,75.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),91504,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),91746,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),91754,100.0
LAUSD Board Member,2.0,Alva,Lisa,4th Quarterly (2016-10-01 to 2016-12-31),91803,200.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),91803,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),93012,500.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),94806,108.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),98087,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),98136,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),02108,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),02171,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),02171,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),08628,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),10010,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),11238,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),20008,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),22202,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),23233,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),48098,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),60603,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),70072,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),70119,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90003,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90004,2550.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90004,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90004,200.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90004,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90005,2300.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90005,1450.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90005,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90006,1100.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90010,600.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90012,2450.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90012,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90012,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90012,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90012,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90013,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90014,300.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90015,950.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90015,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90015,600.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90015,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90016,500.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90016,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90017,2450.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90017,1100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90017,1200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90017,950.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90018,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90018,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90019,500.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90019,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90020,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90020,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90020,600.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90021,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90022,600.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90022,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90023,350.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90023,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90024,1850.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90024,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90024,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90024,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90024,600.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90025,1600.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90025,2200.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90025,150.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90025,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90026,850.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90026,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90026,850.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90026,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90027,550.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90027,400.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90027,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90027,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90027,120.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90028,750.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90031,300.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90031,700.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90031,400.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90032,350.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90032,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90032,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90032,1350.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90034,800.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90035,150.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90035,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90035,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90036,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90037,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90038,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90039,1800.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90039,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90039,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90040,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90041,2000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90041,500.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90041,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90042,550.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90042,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90042,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90042,550.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90045,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90045,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90046,100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90046,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90046,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90046,100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90047,1000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90047,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90048,200.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90048,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90049,6250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90049,2350.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90049,1000.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90049,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90049,300.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90057,1100.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90058,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90064,2950.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90064,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90065,200.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90065,300.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90065,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90065,700.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90066,5500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90066,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90066,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90067,4650.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90067,2200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90068,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90068,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90068,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90068,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90069,2200.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90071,1000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90071,1200.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90071,1000.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90077,3200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90094,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90094,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90094,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90210,3950.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90210,1000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90210,1250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90210,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90210,1000.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90211,4900.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90212,1250.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90212,3800.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90230,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90230,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90232,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90232,600.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90240,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90240,1000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90241,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90241,1000.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90245,500.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90245,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90245,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90248,100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90248,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90250,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90250,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90254,350.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90254,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90254,250.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90265,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90266,1700.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90266,2700.0
LAUSD Board Member,2.0,Garcia,Monica,1st Pre-Election (2017-01-01 to 2017-01-21),90266,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90266,750.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90266,150.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90272,4400.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90272,750.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90272,1100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90274,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90278,250.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90278,500.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90278,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90278,150.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90280,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90291,2100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90291,50.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90292,2350.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90293,500.0
LAUSD Board Member,2.0,Garcia,Monica,4th Quarterly (2016-10-01 to 2016-12-31),90293,100.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90293,250.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90293,200.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90301,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90302,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90302,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90401,100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90402,4050.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90402,1000.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90402,1100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90403,350.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90405,450.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90405,500.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Semi-Annual (2017-07-01 to 2017-12-31),90405,100.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90501,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90504,1100.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90504,300.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2016-01-01 to 2016-06-30),90601,200.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Quarterly (2016-07-01 to 2016-09-30),90601,500.0
LAUSD Board Member,2.0,Garcia,Monica,2nd Pre-Election (2017-01-22 to 2017-02-18),90601,500.0
LAUSD Board Member,2.0,Garcia,Monica,3rd Pre-Election (2017-02-19 to 2017-03-01),90602,500.0
LAUSD Board Member,2.0,Garcia,Monica,1st Semi-Annual (2017-01-01 to 2017-06-30),90603,100.0
